,airline,airline_id,source,source_id,dest,dest_id,codeshare,stops,equipment
4926,AA,24.0,CLT,3876.0,EWN,3730.0,,0,DH8 CRJ DH3
4927,AA,24.0,CLT,3876.0,EWR,3494.0,,0,321 320 737 319
4928,AA,24.0,CLT,3876.0,FAY,5738.0,,0,DH8
4929,AA,24.0,CLT,3876.0,FCO,1555.0,,0,333
4930,AA,24.0,CLT,3876.0,FLL,3533.0,,0,320 737 321 319
4931,AA,24.0,CLT,3876.0,FLO,3879.0,,0,DH3 DH8
4932,AA,24.0,CLT,3876.0,FPO,1948.0,Y,0,CR7
4933,AA,24.0,CLT,3876.0,FRA,340.0,,0,333 332
4934,AA,24.0,CLT,3876.0,GCM,1926.0,,0,320 321 319
4935,AA,24.0,CLT,3876.0,GNV,3472.0,Y,0,CRJ
4936,AA,24.0,CLT,3876.0,GPT,4038.0,Y,0,CR7 CRJ
4937,AA,24.0,CLT,3876.0,GRU,2564.0,,0,332
4938,AA,24.0,CLT,3876.0,GSO,4008.0,,0,DH8 CR9
4939,AA,24.0,CLT,3876.0,GSP,4034.0,,0,DH3 DH8
4940,AA,24.0,CLT,3876.0,HHH,8314.0,,0,DH3
4941,AA,24.0,CLT,3876.0,HPN,3589.0,Y,0,CRJ
4942,AA,24.0,CLT,3876.0,HSV,4113.0,,0,CR7
4943,AA,24.0,CLT,3876.0,HTS,5742.0,,0,DH8 DH3
4944,AA,24.0,CLT,3876.0,IAD,3714.0,,0,CR7
4945,AA,24.0,CLT,3876.0,IAH,3550.0,,0,737 319 321 320
4946,AA,24.0,CLT,3876.0,ILM,3845.0,,0,319
4947,AA,24.0,CLT,3876.0,IND,3585.0,,0,319
4948,AA,24.0,CLT,3876.0,JAN,3580.0,Y,0,CRJ CR7
4949,AA,24.0,CLT,3876.0,JAX,3712.0,,0,319 737
4950,AA,24.0,CLT,3876.0,JFK,3797.0,,0,321 319
4951,AA,24.0,CLT,3876.0,LAS,3877.0,,0,321
4952,AA,24.0,CLT,3876.0,LAX,3484.0,,0,321
4953,AA,24.0,CLT,3876.0,LEX,4017.0,,0,CR7
4954,AA,24.0,CLT,3876.0,LGA,3697.0,,0,321 320 319
4955,AA,24.0,CLT,3876.0,LHR,507.0,,0,333
4956,AA,24.0,CLT,3876.0,LIR,1881.0,,0,320
4957,AA,24.0,CLT,3876.0,LIT,3660.0,Y,0,CR9 CRJ
4958,AA,24.0,CLT,3876.0,LYH,5753.0,,0,DH8
4959,AA,24.0,CLT,3876.0,MBJ,1780.0,,0,319 321 320
4960,AA,24.0,CLT,3876.0,MCI,3458.0,,0,319
4961,AA,24.0,CLT,3876.0,MCO,3878.0,,0,321 767 757 319
4962,AA,24.0,CLT,3876.0,MDT,3542.0,,0,CR7 319
4963,AA,24.0,CLT,3876.0,MEM,3473.0,,0,319
4964,AA,24.0,CLT,3876.0,MEX,1824.0,,0,319
4965,AA,24.0,CLT,3876.0,MGM,4115.0,Y,0,CRJ
4966,AA,24.0,CLT,3876.0,MHT,4011.0,Y,0,CR9
4967,AA,24.0,CLT,3876.0,MIA,3576.0,,0,320 321 319 737
4968,AA,24.0,CLT,3876.0,MKE,3717.0,Y,0,CR7 CRJ CR9
4969,AA,24.0,CLT,3876.0,MLB,3671.0,,0,CRJ
4970,AA,24.0,CLT,3876.0,MOB,3782.0,,0,CRJ
4971,AA,24.0,CLT,3876.0,MSP,3858.0,,0,319 321 320
4972,AA,24.0,CLT,3876.0,MSY,3861.0,Y,0,319 320 E75 CR9
4973,AA,24.0,CLT,3876.0,MYR,3515.0,,0,DH8
4974,AA,24.0,CLT,3876.0,NAS,1953.0,,0,319 737
4975,AA,24.0,CLT,3876.0,OAJ,4386.0,,0,DH8 CR7 CRJ
4976,AA,24.0,CLT,3876.0,OMA,3454.0,Y,0,CR9
4977,AA,24.0,CLT,3876.0,ORD,3830.0,,0,321 320 CR9 E90
4978,AA,24.0,CLT,3876.0,ORF,3611.0,,0,319
4979,AA,24.0,CLT,3876.0,PBI,3722.0,,0,320 319 737
4980,AA,24.0,CLT,3876.0,PDX,3720.0,,0,320
4981,AA,24.0,CLT,3876.0,PGV,6959.0,,0,DH8
4982,AA,24.0,CLT,3876.0,PHF,3633.0,,0,CR7
4983,AA,24.0,CLT,3876.0,PHL,3752.0,,0,767 E90 319 320 332 757 321 737
4984,AA,24.0,CLT,3876.0,PHX,3462.0,,0,757 321
4985,AA,24.0,CLT,3876.0,PIT,3570.0,,0,319 737 320 321
4986,AA,24.0,CLT,3876.0,PLS,1754.0,,0,321
4987,AA,24.0,CLT,3876.0,PNS,3564.0,Y,0,CR9
4988,AA,24.0,CLT,3876.0,PUJ,1760.0,,0,319 757 321 320
4989,AA,24.0,CLT,3876.0,PVD,3641.0,,0,321 320 319
4990,AA,24.0,CLT,3876.0,PWM,3862.0,,0,319
4991,AA,24.0,CLT,3876.0,RDU,3626.0,,0,320 737 319 321 E90
4992,AA,24.0,CLT,3876.0,RIC,3608.0,,0,319 CR7
4993,AA,24.0,CLT,3876.0,ROA,4016.0,,0,DH8 DH3
4994,AA,24.0,CLT,3876.0,ROC,3622.0,,0,319
4995,AA,24.0,CLT,3876.0,RSW,3793.0,,0,320 321 319 737
4996,AA,24.0,CLT,3876.0,SAN,3731.0,,0,320 321
4997,AA,24.0,CLT,3876.0,SAT,3621.0,,0,319
4998,AA,24.0,CLT,3876.0,SAV,3613.0,,0,CR9
4999,AA,24.0,CLT,3876.0,SBY,3642.0,,0,DH8
5000,AA,24.0,CLT,3876.0,SDF,4014.0,,0,CR7 CR9 CRJ
5001,AA,24.0,CLT,3876.0,SEA,3577.0,,0,320 321 319
5002,AA,24.0,CLT,3876.0,SFO,3469.0,,0,321
5003,AA,24.0,CLT,3876.0,SJD,1840.0,,0,320
5004,AA,24.0,CLT,3876.0,SJO,1885.0,,0,319
5005,AA,24.0,CLT,3876.0,SJU,2890.0,,0,321
5006,AA,24.0,CLT,3876.0,SLC,3536.0,,0,320
5007,AA,24.0,CLT,3876.0,SMF,3817.0,,0,321
5008,AA,24.0,CLT,3876.0,SRQ,4067.0,Y,0,CR9 E75
5009,AA,24.0,CLT,3876.0,STL,3678.0,,0,319
5010,AA,24.0,CLT,3876.0,STT,2883.0,,0,757 767
5011,AA,24.0,CLT,3876.0,SXM,2899.0,,0,757 319
5012,AA,24.0,CLT,3876.0,SYR,3745.0,,0,CR9 319 320
5013,AA,24.0,CLT,3876.0,TLH,3698.0,Y,0,CRJ CR7
5014,AA,24.0,CLT,3876.0,TPA,3646.0,,0,320 321 319 737
5015,AA,24.0,CLT,3876.0,TRI,4116.0,,0,DH8 DH3
5016,AA,24.0,CLT,3876.0,TYS,3676.0,,0,CR7
5017,AA,24.0,CLT,3876.0,UVF,2894.0,,0,320 319
5018,AA,24.0,CLT,3876.0,VPS,3873.0,,0,CRJ
5019,AA,24.0,CLT,3876.0,XNA,4356.0,,0,CR7
5020,AA,24.0,CLT,3876.0,YOW,100.0,Y,0,CRJ
5021,AA,24.0,CLT,3876.0,YUL,146.0,Y,0,CRJ
5022,AA,24.0,CLT,3876.0,YYZ,193.0,Y,0,E75 CRJ
5075,AA,24.0,DCA,3520.0,AGS,3658.0,Y,0,CRJ
5076,AA,24.0,DCA,3520.0,ALB,3864.0,Y,0,E70 CRJ E75
5077,AA,24.0,DCA,3520.0,BDL,3825.0,Y,0,CRJ E75 E70
5078,AA,24.0,DCA,3520.0,BGR,3463.0,Y,0,CRJ E70
5079,AA,24.0,DCA,3520.0,BHM,3811.0,Y,0,CRJ
5080,AA,24.0,DCA,3520.0,BNA,3690.0,Y,0,ERD CRJ E70
5081,AA,24.0,DCA,3520.0,BOS,3448.0,,0,319 E90
5082,AA,24.0,DCA,3520.0,BTV,3711.0,,0,CRJ
5083,AA,24.0,DCA,3520.0,BUF,3820.0,Y,0,CRJ E75 E70
5084,AA,24.0,DCA,3520.0,CAE,3561.0,Y,0,CRJ
5085,AA,24.0,DCA,3520.0,CAK,4112.0,Y,0,CRJ
5086,AA,24.0,DCA,3520.0,CHA,3578.0,Y,0,CRJ
5087,AA,24.0,DCA,3520.0,CHS,3806.0,Y,0,E70 CRJ E75
5088,AA,24.0,DCA,3520.0,CLT,3876.0,,0,319 320
5089,AA,24.0,DCA,3520.0,CMH,3759.0,Y,0,CRJ E75 E70
5090,AA,24.0,DCA,3520.0,CRW,4285.0,Y,0,DH3
5091,AA,24.0,DCA,3520.0,CVG,3488.0,Y,0,CRJ
5092,AA,24.0,DCA,3520.0,DAY,3627.0,,0,CRJ
5093,AA,24.0,DCA,3520.0,DFW,3670.0,,0,738 M80
5094,AA,24.0,DCA,3520.0,DSM,3729.0,Y,0,E70 CRJ
5095,AA,24.0,DCA,3520.0,DTW,3645.0,Y,0,CRJ E70 E75
5096,AA,24.0,DCA,3520.0,FAY,5738.0,,0,DH3
5097,AA,24.0,DCA,3520.0,FLL,3533.0,,0,319
5098,AA,24.0,DCA,3520.0,GSO,4008.0,Y,0,CRJ E70 E75
5099,AA,24.0,DCA,3520.0,GSP,4034.0,Y,0,CRJ
5100,AA,24.0,DCA,3520.0,HHH,8314.0,,0,DH3
5101,AA,24.0,DCA,3520.0,HPN,3589.0,Y,0,DH3 CRJ
5102,AA,24.0,DCA,3520.0,HSV,4113.0,Y,0,CRJ E70
5103,AA,24.0,DCA,3520.0,ILM,3845.0,Y,0,CRJ
5104,AA,24.0,DCA,3520.0,IND,3585.0,Y,0,E70 E75 CRJ
5105,AA,24.0,DCA,3520.0,ISP,3857.0,Y,0,CRJ
5106,AA,24.0,DCA,3520.0,JAN,3580.0,Y,0,CRJ
5107,AA,24.0,DCA,3520.0,JAX,3712.0,Y,0,CRJ E75 E70
5108,AA,24.0,DCA,3520.0,JFK,3797.0,,0,738
5109,AA,24.0,DCA,3520.0,LAS,3877.0,,0,319
5110,AA,24.0,DCA,3520.0,LAX,3484.0,,0,738
5111,AA,24.0,DCA,3520.0,LGA,3697.0,,0,319 E90
5112,AA,24.0,DCA,3520.0,LIT,3660.0,Y,0,E70
5113,AA,24.0,DCA,3520.0,MCI,3458.0,Y,0,E70 E75
5114,AA,24.0,DCA,3520.0,MCO,3878.0,,0,320 319
5115,AA,24.0,DCA,3520.0,MEM,3473.0,Y,0,CRJ
5116,AA,24.0,DCA,3520.0,MHT,4011.0,Y,0,CRJ E75 E70
5117,AA,24.0,DCA,3520.0,MIA,3576.0,,0,738
5118,AA,24.0,DCA,3520.0,MSP,3858.0,Y,0,E70 E75
5119,AA,24.0,DCA,3520.0,MSY,3861.0,Y,0,E70 E75
5120,AA,24.0,DCA,3520.0,MYR,3515.0,Y,0,CRJ
5121,AA,24.0,DCA,3520.0,NAS,1953.0,,0,319
5122,AA,24.0,DCA,3520.0,OAJ,4386.0,Y,0,CRJ
