,GEO.id,GEO.id2,GEO.display-label,P1-D001,P3-D001,P3-D002,P3-D003,P3-D004,P3-D005,P3-D006,P3-D007,P3-D008,P4-D001,P4-D002,P4-D003,H1-D001,H3-D001,H3-D002,H3-D003,H4-D001,H4-D002,H4-D003,H4-D004,H5-D001,H5-D002,H5-D003,H5-D004,H5-D005,H5-D006,H5-D007,H5-D008,tract,county,state,pct_rent,pct_black,pct_asian,pct_white,pct_hisp,pct_vacant
269,1400000US21067000700,21067000700,"Census Tract 7, Fayette County, Kentucky",2353,2353,2148,46,2,117,1,11,28,2353,2314,39,1152,1152,1062,90,1062,248,132,682,90,62,0,9,5,4,0,10,Census Tract 7, Fayette County, Kentucky,64.21845574387947,1.9549511262218444,4.972375690607735,91.28771780705482,1.6574585635359116,7.8125
270,1400000US21067000801,21067000801,"Census Tract 8.01, Fayette County, Kentucky",4094,4094,3255,385,6,356,2,18,72,4094,4012,82,397,397,251,146,251,5,6,240,146,133,0,0,0,0,0,13,Census Tract 8.01, Fayette County, Kentucky,95.61752988047809,9.40400586223742,8.695652173913043,79.50659501709819,2.0029311187103076,36.775818639798494
271,1400000US21067000802,21067000802,"Census Tract 8.02, Fayette County, Kentucky",3487,3487,2930,298,10,149,2,21,77,3487,3421,66,981,981,867,114,867,43,22,802,114,72,5,4,0,13,0,20,Census Tract 8.02, Fayette County, Kentucky,92.50288350634371,8.546028104387727,4.273014052193863,84.0263837109263,1.8927444794952681,11.62079510703364
272,1400000US21067000900,21067000900,"Census Tract 9, Fayette County, Kentucky",4420,4420,3400,647,15,150,0,120,88,4420,4161,259,2120,2120,1947,173,1947,153,43,1751,173,117,2,8,7,5,0,34,Census Tract 9, Fayette County, Kentucky,89.9332306111967,14.638009049773757,3.3936651583710407,76.92307692307693,5.85972850678733,8.160377358490566
273,1400000US21067001000,21067001000,"Census Tract 10, Fayette County, Kentucky",1477,1477,1011,372,4,33,0,23,34,1477,1395,82,723,723,676,47,676,190,83,403,47,6,7,7,2,3,0,22,Census Tract 10, Fayette County, Kentucky,59.61538461538461,25.186188219363576,2.2342586323628977,68.44955991875423,5.551794177386594,6.500691562932228
274,1400000US21067001100,21067001100,"Census Tract 11, Fayette County, Kentucky",4724,4724,1578,2463,33,14,1,516,119,4724,3757,967,2269,2269,1956,313,1956,683,506,767,313,185,9,18,7,9,0,85,Census Tract 11, Fayette County, Kentucky,39.212678936605315,52.13801862828112,0.29635901778154106,33.4038950042337,20.46994072819644,13.794623182018512
275,1400000US21067001300,21067001300,"Census Tract 13, Fayette County, Kentucky",2310,2310,1323,489,11,12,8,379,88,2310,1732,578,893,893,808,85,808,206,116,486,85,48,4,13,1,5,0,14,Census Tract 13, Fayette County, Kentucky,60.148514851485146,21.16883116883117,0.5194805194805194,57.27272727272727,25.02164502164502,9.518477043673013
276,1400000US21067001400,21067001400,"Census Tract 14, Fayette County, Kentucky",2523,2523,1811,454,10,9,0,168,71,2523,2280,243,1120,1120,960,160,960,371,134,455,160,76,0,32,2,9,0,41,Census Tract 14, Fayette County, Kentucky,47.39583333333333,17.994451050336902,0.356718192627824,71.77962742766549,9.63139120095125,14.285714285714285
277,1400000US21067001500,21067001500,"Census Tract 15, Fayette County, Kentucky",1978,1978,1551,298,0,6,1,68,54,1978,1888,90,913,913,839,74,839,412,183,244,74,29,0,14,7,1,0,23,Census Tract 15, Fayette County, Kentucky,29.082240762812873,15.06572295247725,0.3033367037411527,78.41253791708796,4.550050556117291,8.105147864184008
278,1400000US21067001600,21067001600,"Census Tract 16, Fayette County, Kentucky",2600,2600,1952,489,15,13,2,58,71,2600,2453,147,1289,1289,1151,138,1151,440,141,570,138,74,7,28,8,3,1,17,Census Tract 16, Fayette County, Kentucky,49.52215464813206,18.80769230769231,0.5,75.07692307692308,5.653846153846153,10.705973622963539
279,1400000US21067001700,21067001700,"Census Tract 17, Fayette County, Kentucky",2171,2171,1897,163,8,21,7,32,43,2171,2067,104,1126,1126,1043,83,1043,433,217,393,83,38,0,15,4,9,0,17,Census Tract 17, Fayette County, Kentucky,37.679769894535,7.508060801473976,0.9672961768770152,87.37908797789036,4.790419161676647,7.371225577264654
280,1400000US21067001800,21067001800,"Census Tract 18, Fayette County, Kentucky",2623,2623,2036,238,9,260,0,22,58,2623,2556,67,1451,1451,1295,156,1295,54,26,1215,156,122,4,6,1,1,0,22,Census Tract 18, Fayette County, Kentucky,93.82239382239382,9.073579870377431,9.912314144109798,77.62104460541364,2.5543271063667556,10.75120606478291
281,1400000US21067001900,21067001900,"Census Tract 19, Fayette County, Kentucky",4767,4767,3216,1091,18,73,6,228,135,4767,4449,318,2070,2070,1856,214,1856,252,128,1476,214,173,2,11,6,2,0,20,Census Tract 19, Fayette County, Kentucky,79.52586206896551,22.88651143276694,1.5313614432557163,67.46381371932033,6.670862177470108,10.33816425120773
282,1400000US21067002001,21067002001,"Census Tract 20.01, Fayette County, Kentucky",5803,5803,3029,827,21,35,13,1691,187,5803,3321,2482,2481,2481,2194,287,2194,539,162,1493,287,211,10,22,1,3,0,40,Census Tract 20.01, Fayette County, Kentucky,68.04922515952599,14.251249353782528,0.6031363088057901,52.19713941064966,42.770980527313455,11.567916162837566
283,1400000US21067002002,21067002002,"Census Tract 20.02, Fayette County, Kentucky",2271,2271,1223,395,17,15,0,559,62,2271,1496,775,923,923,834,89,834,347,100,387,89,57,2,3,4,1,0,22,Census Tract 20.02, Fayette County, Kentucky,46.402877697841724,17.393218846323204,0.6605019815059445,53.85292822545134,34.125935711140464,9.642470205850486
284,1400000US21067002200,21067002200,"Census Tract 22, Fayette County, Kentucky",1581,1581,1317,143,2,89,0,9,21,1581,1539,42,829,829,786,43,786,268,140,378,43,29,0,6,0,1,0,7,Census Tract 22, Fayette County, Kentucky,48.091603053435115,9.044908285895003,5.629348513598988,83.30170777988614,2.6565464895635675,5.1869722557297955
