,depth,magnitude
318,49.0,4.7
319,35.9,4.8
320,50.46,4.9
321,60.3,5.0
322,33.0,3.32
323,23.64,6.0
324,9.11,2.6
325,37.0,2.6
326,3.94,2.7
327,35.0,4.6
328,10.0,4.5
329,5.0,2.6
330,35.0,5.1
331,32.38,4.6
332,113.69,4.7
333,92.0,2.92
334,119.0,2.64
335,10.81,5.0
336,35.0,4.8
337,35.0,4.7
338,35.0,5.6
339,27.32,4.8
340,35.0,5.2
341,35.0,5.0
342,118.0,3.53
343,21.44,4.8
344,35.0,5.0
