,Unnamed: 0,airline,airline_id,source,source_id,dest,dest_id,codeshare,stops,equipment,latitude_source,longitude_source,latitude_dest,longitude_dest,Dist,TT_hrs
0,0,DL,2009.0,ABE,4355.0,ATL,3682.0,,0,717,40.652099609375,-75.44080352783203,33.63669967651367,-84.4281005859375,4679.870339300103,10.359740678600206
1,1,DL,2009.0,ABQ,4019.0,ATL,3682.0,,0,757 320,35.04019927978516,-106.60900115966795,33.63669967651367,-84.4281005859375,4679.870339300103,10.359740678600206
2,2,DL,2009.0,ABQ,4019.0,MSP,3858.0,,0,320,35.04019927978516,-106.60900115966795,44.8819999695,-93.22180175780001,4679.870339300103,10.359740678600206
3,3,DL,2009.0,ACC,248.0,JFK,3797.0,,0,76W,5.605189800262451,-0.16678600013256073,40.63980103,-73.77890015,4679.870339300103,10.359740678600206
4,4,DL,2009.0,ACC,248.0,ROB,1063.0,,0,76W,5.605189800262451,-0.16678600013256073,6.233789920806885,-10.362299919128418,4679.870339300103,10.359740678600206
5,5,DL,2009.0,AGS,3658.0,ATL,3682.0,,0,M88 717,33.36989974975586,-81.9645004272461,33.63669967651367,-84.4281005859375,4679.870339300103,10.359740678600206
6,6,DL,2009.0,ALB,3864.0,ATL,3682.0,,0,M88,42.74829864501953,-73.80169677734375,33.63669967651367,-84.4281005859375,4679.870339300103,10.359740678600206
7,7,DL,2009.0,AMS,580.0,ATL,3682.0,,0,333 76W,52.308601379399995,4.763889789579999,33.63669967651367,-84.4281005859375,4679.870339300103,10.359740678600206
8,8,DL,2009.0,AMS,580.0,BOM,2997.0,,0,76W,52.308601379399995,4.763889789579999,19.088699340799998,72.8678970337,4679.870339300103,10.359740678600206
9,9,DL,2009.0,AMS,580.0,BOS,3448.0,,0,333,52.308601379399995,4.763889789579999,42.36429977,-71.00520325,4679.870339300103,10.359740678600206
10,10,DL,2009.0,AMS,580.0,DTW,3645.0,,0,777 333 76W 332,52.308601379399995,4.763889789579999,42.212398529052734,-83.35340118408203,4679.870339300103,10.359740678600206
11,11,DL,2009.0,AMS,580.0,EWR,3494.0,,0,76W,52.308601379399995,4.763889789579999,40.69250106811523,-74.168701171875,4679.870339300103,10.359740678600206
12,12,DL,2009.0,AMS,580.0,JFK,3797.0,,0,76W,52.308601379399995,4.763889789579999,40.63980103,-73.77890015,4679.870339300103,10.359740678600206
13,13,DL,2009.0,AMS,580.0,MSP,3858.0,,0,333 332 76W,52.308601379399995,4.763889789579999,44.8819999695,-93.22180175780001,4679.870339300103,10.359740678600206
14,14,DL,2009.0,AMS,580.0,PDX,3720.0,,0,333,52.308601379399995,4.763889789579999,45.58869934,-122.5979996,4679.870339300103,10.359740678600206
15,15,DL,2009.0,AMS,580.0,SEA,3577.0,,0,333,52.308601379399995,4.763889789579999,47.44900131225586,-122.30899810791016,4679.870339300103,10.359740678600206
16,16,DL,2009.0,ANC,3774.0,MSP,3858.0,,0,738 757,61.174400329589844,-149.99600219726562,44.8819999695,-93.22180175780001,4679.870339300103,10.359740678600206
17,17,DL,2009.0,ANC,3774.0,SLC,3536.0,,0,738,61.174400329589844,-149.99600219726562,40.78839874267578,-111.97799682617188,4679.870339300103,10.359740678600206
18,18,DL,2009.0,ATL,3682.0,ABE,4355.0,,0,717,33.63669967651367,-84.4281005859375,40.652099609375,-75.44080352783203,4679.870339300103,10.359740678600206
19,19,DL,2009.0,ATL,3682.0,ABQ,4019.0,,0,757 320,33.63669967651367,-84.4281005859375,35.04019927978516,-106.60900115966795,4679.870339300103,10.359740678600206
20,20,DL,2009.0,ATL,3682.0,AGS,3658.0,,0,717 M88,33.63669967651367,-84.4281005859375,33.36989974975586,-81.9645004272461,4679.870339300103,10.359740678600206
21,21,DL,2009.0,ATL,3682.0,ALB,3864.0,,0,M88,33.63669967651367,-84.4281005859375,42.74829864501953,-73.80169677734375,4679.870339300103,10.359740678600206
22,22,DL,2009.0,ATL,3682.0,AMS,580.0,,0,333 76W,33.63669967651367,-84.4281005859375,52.308601379399995,4.763889789579999,4679.870339300103,10.359740678600206
23,23,DL,2009.0,ATL,3682.0,AUA,2895.0,,0,738 757,33.63669967651367,-84.4281005859375,12.501399993896484,-70.01519775390625,4679.870339300103,10.359740678600206
24,24,DL,2009.0,ATL,3682.0,AUS,3673.0,,0,M90 M88 ,33.63669967651367,-84.4281005859375,30.194499969482425,-97.6698989868164,4679.870339300103,10.359740678600206
25,25,DL,2009.0,ATL,3682.0,AVL,4007.0,,0,M88,33.63669967651367,-84.4281005859375,35.43619918823242,-82.54180145263672,4679.870339300103,10.359740678600206
26,26,DL,2009.0,ATL,3682.0,BDA,4069.0,,0,319,33.63669967651367,-84.4281005859375,32.363998413085945,-64.67870330810547,4679.870339300103,10.359740678600206
27,27,DL,2009.0,ATL,3682.0,BDL,3825.0,,0,M88 73W 320,33.63669967651367,-84.4281005859375,41.9388999939,-72.68319702149999,4679.870339300103,10.359740678600206
28,28,DL,2009.0,ATL,3682.0,BHM,3811.0,,0,M88 320,33.63669967651367,-84.4281005859375,33.56290054,-86.75350189,4679.870339300103,10.359740678600206
29,29,DL,2009.0,ATL,3682.0,BNA,3690.0,,0,M88 738 319 320 73H 717,33.63669967651367,-84.4281005859375,36.1245002746582,-86.6781997680664,4679.870339300103,10.359740678600206
30,30,DL,2009.0,ATL,3682.0,BOG,2709.0,,0,73W,33.63669967651367,-84.4281005859375,4.70159,-74.1469,4679.870339300103,10.359740678600206
